stringency,precarity_-1SD,precarity_mean,precarity_+1SD
0.785,0.45401735243225866,0.22138009043225865,-0.011257171567741309
0.79,0.4520876839692952,0.2164774519692952,-0.019132780030704843
0.795,0.45014245737358227,0.21154037937358228,-0.02706169862641783
0.8,0.4481818583486438,0.20656905834864375,-0.035043741651356264
0.805,0.4462060675607368,0.2015636695607368,-0.043078728439263414
0.81,0.4442152607754888,0.19652438877548878,-0.05116648322451134
0.8150000000000001,0.44220960899082906,0.19145138699082903,-0.059306835009171
0.8200000000000001,0.44018927856631324,0.18634483056631318,-0.06749961743368682
0.8250000000000001,0.43815443134894166,0.18120488134894158,-0.07574466865105844
0.8300000000000001,0.4361052247955633,0.1760316967955633,-0.08404183120443665
0.835,0.43404181209195997,0.17082543009196,-0.09239095190804014
0.84,0.4319643422687006,0.16558623026870056,-0.10079188173129949
0.845,0.4298729603138528,0.16031424231385277,-0.10924447568614715
0.85,0.4277678072826363,0.15500960728263635,-0.1177485927173636
0.855,0.42564902040410424,0.1496724624041042,-0.12630409559589573
0.86,0.4235167331849268,0.14430294118492676,-0.13491085081507326
0.865,0.42137107551036435,0.13890117351036435,-0.14356872848963564
0.87,0.4192121737424982,0.1334672857424981,-0.15227760225750187
0.875,0.4170401508157975,0.12800140081579747,-0.16103734918420254
0.88,0.4148551263300957,0.1225036383300957,-0.1698478496699044
0.885,0.41265721664104194,0.1169741146410419,-0.17870898735895824
0.89,0.41044653494810246,0.11141294294810244,-0.18762064905189768
0.895,0.40822319138017116,0.1058202333801711,-0.19658272461982895
0.9,0.40598729307886106,0.10019609307886113,-0.20559510692113903
0.905,0.40373894427953505,0.09454062627953497,-0.214657691720465
0.91,0.4014782463901386,0.08885393439013856,-0.2237703776098614
0.915,0.39920529806789423,0.08313611606789417,-0.23293306593210605
0.92,0.39692019529391653,0.07738726729391643,-0.24214566070608357
0.925,0.39462303144580124,0.0716074814458012,-0.25140806855419884
0.93,0.3923138973682477,0.0657968493682477,-0.26072019863175233
0.935,0.3899928814417636,0.0599554594417635,-0.27008196255823647
0.9400000000000001,0.38766006964950767,0.054083397649507536,-0.27949327435049265
0.9450000000000001,0.3853155456423177,0.04818074764231772,-0.2889540503576824
0.9500000000000001,0.3829593908019763,0.042247590801976265,-0.29846420919802386
0.9550000000000001,0.38059168430275925,0.0362840063027593,-0.3080236716972409
0.96,0.3782125031713149,0.03029007117131488,-0.3176323608286852
0.965,0.3758219223449195,0.02426586034491951,-0.3272902016550804
0.97,0.373420014728152,0.018211446728152003,-0.3369971212718482
0.975,0.37100685124803096,0.012126901248031063,-0.346753048751969
0.98,0.3685825009076574,0.006012292907657479,-0.3565579150923427
0.985,0.3661470308384014,-0.00013231116159873046,-0.36641165316159874
0.99,0.3637005063506734,-0.006306845649326598,-0.3763141976493265
0.995,0.3612429909833177,-0.01251124701668227,-0.38626548501668245
1.0,0.358774546551668,-0.018745453448332006,-0.3962654534483321
