path,N,true,mean_est,bias,pct_bias,rmse,emp_se,mean_analytic_se,coverage_95,power
CS<-AD,200,-0.2114683932836494,-0.2117464576923692,-0.00027806440871980254,-0.13149218396222023,0.06657671708491605,0.06664281256762354,0.06433295315378416,0.934,0.894
CS<-AD,400,-0.2114683932836494,-0.2075013807312104,0.0039670125524389754,1.875936394475336,0.04372136874975107,0.04358463189054797,0.04495616554869504,0.95,0.996
CS<-AD,800,-0.2114683932836494,-0.21011500834583308,0.0013533849378163099,0.6399939569194016,0.031809074218429594,0.03181209787149577,0.03167136942866627,0.952,1.0
CS<-AD,1200,-0.2114683932836494,-0.21148721699000458,-1.88237063551977e-05,-0.00890142780337856,0.025213493052331323,0.025238737395096373,0.02582953250492267,0.962,1.0
CS<-AD,1600,-0.2114683932836494,-0.21007451432993554,0.0013938789537138452,0.6591429253626564,0.020879831818496574,0.020854118700262183,0.022389706598151107,0.972,1.0
CS<-AD,2400,-0.2114683932836494,-0.21099129008916892,0.000477103194480466,0.22561442259517994,0.01843751829244719,0.018449803354338736,0.01825930577463663,0.948,1.0
CS<-PR,200,-0.25701988484961835,-0.2548409112124251,0.002178973637193271,0.8477840687150354,0.06151109151949497,0.06153405018746165,0.0643153435615654,0.962,0.978
CS<-PR,400,-0.25701988484961835,-0.25845145597261737,-0.0014315711229990202,-0.556988469522916,0.043803398917009316,0.0438238453315285,0.044971630687572005,0.956,1.0
CS<-PR,800,-0.25701988484961835,-0.25746865523649887,-0.00044877038688051485,-0.17460531784976216,0.02970356400989978,0.029729918535750435,0.031705937437910454,0.96,1.0
CS<-PR,1200,-0.25701988484961835,-0.25570131619151204,0.0013185686581063116,0.5130220406380901,0.02562838436122475,0.025620074904980323,0.025853422197897807,0.948,1.0
CS<-PR,1600,-0.25701988484961835,-0.25792960843053264,-0.0009097235809142901,-0.3539506608381789,0.02125718265596053,0.021258977061151624,0.022407853548666253,0.962,1.0
CS<-PR,2400,-0.25701988484961835,-0.2576088148765141,-0.0005889300268957509,-0.22913792340932726,0.018049565548953424,0.018058022102486606,0.01827615405357055,0.958,1.0
CS<-RIA,200,0.3144916340359356,0.32022471600683156,0.005733081970895948,1.8229680380695354,0.05914091829409546,0.05892133259400342,0.058815699639209094,0.958,0.998
CS<-RIA,400,0.3144916340359356,0.3180645448328172,0.003572910796881601,1.1360908877029077,0.04223266704150124,0.04212340485227339,0.041025187517653196,0.944,1.0
CS<-RIA,800,0.3144916340359356,0.3191136410418267,0.0046220070058911045,1.4696756624528433,0.028776106543552702,0.02843093376998823,0.028782220445575928,0.952,1.0
CS<-RIA,1200,0.3144916340359356,0.3148688454251746,0.0003772113892390183,0.1199432189648379,0.022073592237977495,0.02209247248583561,0.023507493971779946,0.966,1.0
CS<-RIA,1600,0.3144916340359356,0.3168858289489676,0.0023941949130319995,0.7612904935814008,0.01920574114292016,0.019075010763785816,0.020358139185027074,0.964,1.0
CS<-RIA,2400,0.3144916340359356,0.31637813276299803,0.0018864987270624245,0.5998565694249481,0.016656715263317436,0.01656611475972834,0.016586330819304176,0.944,1.0
CS<-RIA:symbolic,200,0.10486070735444585,0.09662380150647003,-0.008236905847975817,-7.855092775652577,0.05356479645986566,0.0529807013096367,0.05433988662416257,0.956,0.44
CS<-RIA:symbolic,400,0.10486070735444585,0.10095397430489553,-0.003906733049550318,-3.725640564589826,0.037737687661034205,0.03757251514964983,0.03787743412963438,0.96,0.756
CS<-RIA:symbolic,800,0.10486070735444585,0.10433513423472786,-0.0005255731197179869,-0.5012107327642319,0.025687042315407048,0.02570738522525349,0.026605978742453604,0.95,0.966
CS<-RIA:symbolic,1200,0.10486070735444585,0.10464014586740994,-0.00022056148703590572,-0.210337592219619,0.021028532599550728,0.021048434838226864,0.0217071402076731,0.948,1.0
CS<-RIA:symbolic,1600,0.10486070735444585,0.10394743597900656,-0.000913271375439284,-0.8709376452550261,0.01829820220720134,0.018293699962749068,0.01878964392272037,0.962,1.0
CS<-RIA:symbolic,2400,0.10486070735444585,0.10329130082712817,-0.001569406527317671,-1.4966583450537494,0.015376852345630276,0.015311873109700952,0.015322197177061543,0.944,1.0
CS<-RSV,200,0.15415931346100983,0.15369732602907393,-0.00046198743193590075,-0.29968181718047826,0.06626291509656686,0.06632766544296421,0.06572968898596716,0.946,0.65
CS<-RSV,400,0.15415931346100983,0.15524196519102634,0.0010826517300165095,0.7022940785756108,0.0445735560252529,0.04460503312326656,0.04597842100502187,0.964,0.932
CS<-RSV,800,0.15415931346100983,0.1549302586119476,0.0007709451509377574,0.5000963831664603,0.03308706460474096,0.03311120946321322,0.032270960458598535,0.948,0.998
CS<-RSV,1200,0.15415931346100983,0.15577794924339936,0.0016186357823895214,1.0499759930420351,0.025841292790973965,0.02581637856317275,0.026348600776962255,0.96,1.0
CS<-RSV,1600,0.15415931346100983,0.15402905754918883,-0.00013025591182100338,-0.08449435126285959,0.023013891803300893,0.02303657128490707,0.022819144715347264,0.966,1.0
CS<-RSV,2400,0.15415931346100983,0.15508033095527526,0.0009210174942654303,0.5974452490620366,0.0189850626408075,0.01898170013805148,0.018598142127623212,0.942,1.0
CS<-stringency,200,1.3078687316152104,1.304057430280868,-0.0038113013343423763,-0.291413139729438,1.1434329441434095,1.1445717367888812,1.1096698819839959,0.944,0.24
CS<-stringency,400,1.3078687316152104,1.3434634957895584,0.035594764174347926,2.7215853788599547,0.7442336596526679,0.7441264686369029,0.7748866521016293,0.952,0.408
CS<-stringency,800,1.3078687316152104,1.315883310546417,0.008014578931206495,0.612796891420625,0.5322715353122891,0.5327442037239446,0.5427151372238483,0.962,0.652
CS<-stringency,1200,1.3078687316152104,1.3016521772417342,-0.006216554373476235,-0.47531944324367115,0.41313968102120585,0.41350662139547556,0.4432082731843458,0.962,0.84
CS<-stringency,1600,1.3078687316152104,1.3157481287089485,0.007879397093738083,0.6024608512508015,0.37142900740474327,0.3717173256433966,0.3836105913364757,0.96,0.922
CS<-stringency,2400,1.3078687316152104,1.3021609019506561,-0.005707829664554298,-0.4364222132217196,0.31915529795151965,0.3194238376627174,0.31252750411054014,0.942,0.982
CS<-stringency2,200,-1.6345122041500846,-1.6185102071688962,0.016001996981188427,0.9790074947466894,1.1130647112104384,1.114064300642707,1.0804691611134771,0.926,0.316
CS<-stringency2,400,-1.6345122041500846,-1.6610259549997355,-0.026513750849650908,-1.6221200907717501,0.7318349519925433,0.7320869624676025,0.755393467441419,0.95,0.588
CS<-stringency2,800,-1.6345122041500846,-1.6183736072481643,0.01613859690192032,0.9873647233060711,0.510359444317017,0.5106150836205814,0.5286478699161585,0.966,0.862
